id,topic,treatment,submission,duration,accuracy_local,accuracy_global,effort,difficulty,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,global_cohesion,color_coding,cmap
fr10ma38,revision,control-group,2018-06-12T15:50:28Z,1029.611,57,32,2,4,16,2,0.666666666667,32,10,5,54,3,no_color_coding,no-cmap
fr12cl61,transfer,control-group,2017-12-14T15:28:50Z,913.285,88,94,1,8,8,1,0.714285714286,26,5,2,45,2,no_color_coding,no-cmap
fr12cl61,draft,integrated,2017-12-14T15:00:36Z,842.781,81,43,2,3,6,1,0.8,17,4,1,33,2,color_coding,no-cmap
fr12cl61,revision,integrated,2017-12-14T15:00:36Z,860.958,97,18,1,3,8,1,0.571428571429,21,4,3,40,2.5,color_coding,no-cmap
fr16be09,transfer,control-group,2018-06-05T16:08:38Z,846.126,81,83,2,7,8,2,0.714285714,19,5,2,NA,2,no_color_coding,no-cmap
fr16be09,draft,cmap,2018-06-05T15:52:21Z,844.684,76,64,2,2,10,2,0.333333333,22,3,6,NA,2,no_color_coding,cmap
fr16be09,revision,cmap,2018-06-05T15:52:21Z,869.729,87,88,3,7,9,4,0.375,18,3,5,NA,1.5,no_color_coding,cmap
fr22do50,transfer,control-group,2018-01-24T15:43:42Z,952.139,35,71,3,7,13,1,0.5,31,6,6,62,2.5,no_color_coding,no-cmap
fr22do50,draft,control-group,2018-01-24T15:20:25Z,910.825,63,32,4,4,12,2,0.454545454545,21,5,6,33,2.5,no_color_coding,no-cmap
fr22do50,revision,control-group,2018-01-24T15:20:25Z,982.305,71,93,3,4,18,3,0.352941176471,24,6,11,31,3.5,no_color_coding,no-cmap
fr22li77,transfer,control-group,2018-01-11T15:36:33Z,903.779,77,50,2,7,12,2,0.454545454545,40,5,6,65,1.5,no_color_coding,no-cmap
fr22li77,draft,cmap-integrated,2018-01-11T15:10:35Z,898.941,72,53,4,3,13,3,0,22,0,12,33,2,color_coding,cmap
fr22li77,revision,cmap-integrated,2018-01-11T15:10:35Z,499.083,62,72,2,9,13,1,0.25,24,3,9,40,2,color_coding,cmap
fr22st48,transfer,control-group,2018-01-03T11:28:06Z,905.754,45,43,1,9,12,1,0.636363636364,32,7,4,82,3,no_color_coding,no-cmap
fr22st48,draft,cmap-integrated,2018-01-03T11:07:31Z,903.197,40,60,3,8,11,3,0.6,22,6,4,43,2.5,color_coding,cmap
fr22st48,revision,cmap-integrated,2018-01-03T11:07:31Z,964.081,64,75,1,8,14,2,0.692307692308,25,9,4,62,4,color_coding,cmap
goe27so67,transfer,control-group,2018-01-19T16:18:42Z,696.371,78,69,2,3,10,3,0.555555555556,31,5,4,48,2,no_color_coding,no-cmap
goe27so67,draft,cmap,2018-01-19T16:05:42Z,775.316,26,80,1,2,11,2,0.5,18,5,5,30,1.5,no_color_coding,cmap
goe27so67,revision,cmap,2018-01-19T16:05:42Z,549.45,80,80,3,8,11,2,0.4,23,4,6,53,1.5,no_color_coding,cmap
gr06yv79,transfer,control-group,2018-03-20T10:16:19Z,900.34,65,73,2,4,8,1,0.428571428571,24,3,4,57,2.5,no_color_coding,no-cmap
gr06yv79,draft,control-group,2018-03-20T09:55:24Z,724.473,78,85,2,3,7,3,0.5,17,3,3,21,1.5,no_color_coding,no-cmap
gr06yv79,revision,control-group,2018-03-20T09:55:24Z,711.1,87,90,2,3,11,3,0.5,21,5,5,33,1.5,no_color_coding,no-cmap
gue17ai69,transfer,control-group,2018-05-14T13:40:39Z,863.075,25,20,2,2,14,3,0.769230769231,38,10,3,59,3,no_color_coding,no-cmap
gue17ai69,draft,control-group,2018-05-14T13:20:19Z,827.466,99,80,3,8,13,1,0.75,20,9,3,41,2,no_color_coding,no-cmap
gue17ai69,revision,control-group,2018-05-14T13:20:19Z,775.902,100,75,4,5,13,2,0.583333333333,23,7,5,43,2.5,no_color_coding,no-cmap
ha10in33,transfer,control-group,2018-06-18T16:05:02Z,1129.639,70,60,4,3,9,1,0.625,28,5,3,36,2,no_color_coding,no-cmap
ha10in33,draft,cmap-integrated,2018-06-18T15:38:17Z,892.614,25,30,6,8,8,2,0.428571428571,20,3,4,35,1.5,color_coding,cmap
ha10in33,revision,cmap-integrated,2018-06-18T15:38:17Z,993.711,60,40,6,3,9,2,0.625,32,5,3,71,4,color_coding,cmap
ha19an80,transfer,control-group,2018-01-24T15:39:39Z,931.057,64,67,1,7,19,5,0.166666666667,26,3,15,39,3.5,no_color_coding,no-cmap
ha19an80,draft,cmap-integrated,2018-01-24T15:20:25Z,905.787,12,13,3,3,10,2,0.444444444444,19,4,5,41,2,color_coding,cmap
ha19an80,revision,cmap-integrated,2018-01-24T15:20:25Z,982.947,94,91,2,9,15,2,0.214285714286,26,3,11,49,3,color_coding,cmap
ha26sa57,transfer,control-group,2017-12-20T15:40:35Z,908.719,63,76,2,4,4,1,0.666666666667,28,2,1,88,2.5,no_color_coding,no-cmap
